epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
77,522.245,1.71058,1.21602,0.00204,0.28084,0.42441,0.24873,0.06732,2.69199,2.27329,0.00364,9.22186e-05,9.22186e-05,9.22186e-05
78,528.766,1.76372,1.2884,0.00209,0.36712,0.32726,0.29376,0.07944,2.68766,2.14522,0.00366,9.20188e-05,9.20188e-05,9.20188e-05
79,535.414,1.74717,1.24982,0.0024,0.36274,0.35553,0.26045,0.06789,2.72501,2.27457,0.0037,9.18167e-05,9.18167e-05,9.18167e-05
80,541.873,1.71716,1.23534,0.00206,0.33388,0.38566,0.24634,0.06283,2.75429,2.23941,0.00378,9.16124e-05,9.16124e-05,9.16124e-05
81,548.326,1.67124,1.26105,0.002,0.32911,0.41965,0.26101,0.06786,2.6807,2.17501,0.00366,9.14058e-05,9.14058e-05,9.14058e-05
82,554.823,1.69246,1.26338,0.00208,0.36526,0.4212,0.2828,0.07823,2.55824,2.15543,0.0034,9.11969e-05,9.11969e-05,9.11969e-05
83,561.292,1.71509,1.21981,0.00197,0.38572,0.43896,0.29571,0.07963,2.63243,2.12942,0.00352,9.09858e-05,9.09858e-05,9.09858e-05
84,567.75,1.68073,1.20511,0.00207,0.38149,0.45794,0.32512,0.0952,2.55355,2.08136,0.00337,9.07725e-05,9.07725e-05,9.07725e-05
85,575.707,1.74519,1.23748,0.00205,0.38771,0.39285,0.27951,0.07431,2.68507,2.16071,0.00359,9.0557e-05,9.0557e-05,9.0557e-05
86,582.153,1.68689,1.23889,0.00205,0.44577,0.39143,0.31025,0.09114,2.48721,2.15165,0.00322,9.03393e-05,9.03393e-05,9.03393e-05
87,590.109,1.65326,1.1796,0.00198,0.36812,0.3896,0.26679,0.0701,2.72859,2.19689,0.00372,9.01194e-05,9.01194e-05,9.01194e-05
88,596.661,1.7118,1.21199,0.00204,0.33695,0.43977,0.27774,0.07553,2.6211,2.21313,0.00356,8.98973e-05,8.98973e-05,8.98973e-05
89,603.065,1.66107,1.20868,0.00202,0.31782,0.40727,0.24004,0.05624,2.83933,2.26482,0.00404,8.96731e-05,8.96731e-05,8.96731e-05
90,610.962,1.70634,1.15719,0.00206,0.3654,0.36955,0.25609,0.06252,2.80734,2.26231,0.00393,8.94467e-05,8.94467e-05,8.94467e-05
